ts,실시간 임시 가격(원/kWh),실시간 확정 가격(원/kWh),하루전가격(원/kWh),공급능력(kW),현재 수요(kW),풍력 발전량(kW),신재생 발전량 총합(kW),공급 예비력(kW),운영 예비력(kW)
2024-02-29 15:00:00,95.3,95.3,107.39,1388000.0,798000.0,234165.0,248660.0,590000.0,266000.0
2024-02-29 16:00:00,107.39,107.39,107.39,1367000.0,765000.0,210320.0,226351.0,602000.0,277000.0
2024-02-29 17:00:00,95.3,95.3,95.3,1403000.0,736000.0,245230.0,261327.0,666000.0,342000.0
2024-02-29 18:00:00,87.89,87.89,87.89,1376000.0,727000.0,225240.0,239324.0,649000.0,323000.0
2024-02-29 19:00:00,86.5,86.5,0.0,1362000.0,741000.0,209575.0,223575.0,621000.0,297000.0
2024-02-29 20:00:00,88.78,88.78,0.0,1391000.0,756000.0,236983.0,252094.0,635000.0,311000.0
2024-02-29 21:00:00,100.21,100.21,0.0,1359000.0,777000.0,200561.0,216589.0,582000.0,255000.0
2024-02-29 22:00:00,111.4,111.4,111.4,1396000.0,818000.0,243533.0,259615.0,578000.0,358000.0
2024-02-29 23:00:00,111.4,111.4,0.0,1412000.0,764000.0,230261.0,268334.0,648000.0,421000.0
2024-03-01 00:00:00,111.67,111.67,111.67,1499000.0,670000.0,250415.0,358095.0,830000.0,480000.0
2024-03-01 01:00:00,109.57,109.57,109.57,1539000.0,700000.0,232849.0,396974.0,839000.0,473000.0
2024-03-01 02:00:00,-73.88,-73.88,0.0,1507000.0,717000.0,202607.0,365198.0,790000.0,441000.0
2024-03-01 03:00:00,-73.88,-73.88,99.15,1554000.0,711000.0,212766.0,411399.0,842000.0,478000.0
2024-03-01 04:00:00,0.0,0.0,0.0,1538000.0,726000.0,221596.0,395670.0,811000.0,435000.0
2024-03-01 05:00:00,95.91,95.91,95.91,1506000.0,755000.0,240687.0,365535.0,752000.0,399000.0
2024-03-01 06:00:00,95.91,95.91,95.91,1502000.0,757000.0,233044.0,359575.0,744000.0,393000.0
2024-03-01 07:00:00,98.25,98.25,98.25,1481000.0,786000.0,234083.0,338934.0,695000.0,473000.0
2024-03-01 08:00:00,100.21,100.21,100.21,1433000.0,841000.0,231374.0,291671.0,592000.0,493000.0
2024-03-01 09:00:00,128.34,128.34,128.34,1377000.0,950000.0,208367.0,235996.0,427000.0,328000.0
2024-03-01 10:00:00,174.45,174.45,109.57,1387000.0,990000.0,221606.0,242835.0,397000.0,286000.0
2024-03-01 11:00:00,109.83,109.83,109.83,1373000.0,978000.0,211743.0,229656.0,395000.0,285000.0
2024-03-01 12:00:00,174.59,174.59,109.83,1362000.0,956000.0,203748.0,219825.0,407000.0,295000.0
2024-03-01 13:00:00,110.35,110.35,110.35,1380000.0,945000.0,223455.0,238656.0,435000.0,333000.0
2024-03-01 14:00:00,173.94,173.94,112.19,1353000.0,922000.0,192801.0,208846.0,431000.0,329000.0
2024-03-01 15:00:00,112.19,112.19,112.19,1362000.0,888000.0,200648.0,216284.0,473000.0,371000.0
2024-03-01 16:00:00,100.28,100.28,138.5,1345000.0,848000.0,185978.0,201763.0,497000.0,393000.0
2024-03-01 17:00:00,167.66,136.89,99.48,1328000.0,814000.0,170545.0,185359.0,514000.0,287000.0
2024-03-01 18:00:00,165.95,136.72,95.38,1301000.0,800000.0,141930.0,158201.0,501000.0,274000.0
2024-03-01 19:00:00,91.24,91.24,91.24,1289000.0,784000.0,130682.0,147329.0,505000.0,283000.0
2024-03-01 20:00:00,91.24,91.24,91.24,1281000.0,788000.0,122458.0,136992.0,493000.0,268000.0
2024-03-01 21:00:00,95.38,95.38,134.65,1267000.0,806000.0,109281.0,126024.0,462000.0,232000.0
2024-03-01 22:00:00,99.48,99.48,99.48,1243000.0,820000.0,86074.3,101136.0,424000.0,310000.0
2024-03-01 23:00:00,102.02,102.02,135.15,1211000.0,813000.0,49169.1,69477.0,397000.0,294000.0
2024-03-02 00:00:00,101.85,101.85,135.71,1247000.0,702000.0,39229.1,103240.0,545000.0,443000.0
2024-03-02 01:00:00,104.14,104.14,104.14,1351000.0,656000.0,32604.3,209267.0,694000.0,593000.0
2024-03-02 02:00:00,100.76,100.76,138.5,1417000.0,674000.0,32601.2,274673.0,743000.0,391000.0
2024-03-02 03:00:00,-19.0,-19.0,95.88,1415000.0,602000.0,23291.2,272790.0,814000.0,465000.0
2024-03-02 04:00:00,-73.65,-73.65,95.22,1448000.0,605000.0,17445.2,307386.0,843000.0,464000.0
2024-03-02 05:00:00,0.0,0.0,95.88,1445000.0,644000.0,18814.5,303151.0,801000.0,418000.0
2024-03-02 06:00:00,-73.65,-73.65,99.48,1388000.0,660000.0,32998.9,246713.0,727000.0,471000.0
2024-03-02 07:00:00,100.55,100.55,100.55,1315000.0,700000.0,25080.2,175437.0,615000.0,515000.0
2024-03-02 08:00:00,99.48,99.48,250.6,1266000.0,756000.0,33282.3,125116.0,509000.0,407000.0
2024-03-02 09:00:00,100.55,100.55,136.96,1202000.0,856000.0,22619.4,61078.9,346000.0,247000.0
2024-03-02 10:00:00,325.8,310.58,168.45,1176000.0,924000.0,31128.1,51323.4,252000.0,148000.0
2024-03-02 11:00:00,330.56,314.82,225.05,1173000.0,938000.0,28956.1,48082.3,235000.0,146000.0
2024-03-02 12:00:00,329.28,314.82,225.05,1167000.0,917000.0,25138.3,43043.3,250000.0,162000.0
2024-03-02 13:00:00,325.74,311.94,168.45,1166000.0,879000.0,25611.4,41272.2,286000.0,198000.0
2024-03-02 14:00:00,169.69,170.61,207.57,1169000.0,867000.0,33337.9,45978.4,303000.0,220000.0
2024-03-02 15:00:00,169.3,140.94,247.14,1173000.0,830000.0,34779.2,48403.4,343000.0,261000.0
2024-03-02 16:00:00,166.05,165.51,321.47,1169000.0,811000.0,34019.3,46486.0,358000.0,273000.0
2024-03-02 17:00:00,100.21,100.21,100.21,1176000.0,793000.0,38075.7,52466.9,383000.0,304000.0
2024-03-02 18:00:00,82.66,82.66,82.66,1181000.0,772000.0,43493.3,58308.4,410000.0,327000.0
2024-03-02 19:00:00,175.18,140.13,82.66,1180000.0,764000.0,42580.1,56826.1,416000.0,315000.0
2024-03-02 20:00:00,82.66,82.66,82.66,1172000.0,757000.0,33807.9,48530.1,414000.0,315000.0
2024-03-02 21:00:00,99.15,99.15,99.15,1180000.0,765000.0,41161.6,57648.1,415000.0,316000.0
2024-03-02 22:00:00,105.8,105.8,165.83,1169000.0,791000.0,31833.7,46108.4,378000.0,278000.0
2024-03-02 23:00:00,107.39,107.39,169.56,1178000.0,738000.0,24795.2,54561.6,440000.0,338000.0
2024-03-03 00:00:00,95.99,95.99,95.99,1206000.0,676000.0,24847.2,84760.3,530000.0,430000.0
2024-03-03 01:00:00,107.39,107.39,107.39,1235000.0,669000.0,28965.0,98093.9,566000.0,343000.0
2024-03-03 02:00:00,100.21,100.21,100.21,1251000.0,694000.0,35393.6,113716.0,557000.0,333000.0
2024-03-03 03:00:00,0.0,0.0,104.76,1284000.0,701000.0,47320.9,147555.0,583000.0,236000.0
2024-03-03 04:00:00,95.93,95.93,95.93,1287000.0,697000.0,40572.8,152155.0,590000.0,245000.0
2024-03-03 05:00:00,-19.0,-19.0,95.93,1287000.0,656000.0,19717.1,150947.0,631000.0,285000.0
2024-03-03 06:00:00,95.68,95.68,95.68,1343000.0,646000.0,53291.9,207413.0,697000.0,349000.0
2024-03-03 07:00:00,95.7,95.7,95.7,1333000.0,695000.0,49981.6,197122.0,638000.0,416000.0
2024-03-03 08:00:00,95.94,95.94,250.09,1265000.0,728000.0,41285.0,129178.0,537000.0,437000.0
2024-03-03 09:00:00,96.31,96.31,137.03,1203000.0,807000.0,28367.9,65544.4,395000.0,311000.0
2024-03-03 10:00:00,168.18,136.96,169.72,1186000.0,876000.0,29632.0,48093.2,310000.0,214000.0
2024-03-03 11:00:00,169.16,140.08,170.95,1183000.0,894000.0,26952.8,44974.2,289000.0,194000.0
2024-03-03 12:00:00,322.97,248.04,171.26,1181000.0,884000.0,26549.3,42689.0,297000.0,202000.0
2024-03-03 13:00:00,171.99,169.12,175.61,1169000.0,866000.0,16473.2,30968.3,304000.0,209000.0
2024-03-03 14:00:00,169.12,169.12,175.61,1164000.0,847000.0,10652.3,25465.8,317000.0,226000.0
2024-03-03 15:00:00,169.12,141.95,170.79,1160000.0,818000.0,9757.6,25327.0,342000.0,260000.0
2024-03-03 16:00:00,165.08,163.39,168.3,1163000.0,771000.0,8860.2,23935.1,392000.0,292000.0
2024-03-03 17:00:00,86.82,86.82,86.82,1162000.0,760000.0,6820.17,21897.8,402000.0,303000.0
2024-03-03 18:00:00,80.97,80.97,80.97,1163000.0,745000.0,7498.27,24009.7,418000.0,318000.0
2024-03-03 19:00:00,80.97,80.97,80.97,1160000.0,747000.0,4672.14,21103.4,413000.0,315000.0
2024-03-03 20:00:00,80.97,80.97,80.97,1155000.0,753000.0,985.85,15564.8,402000.0,299000.0
2024-03-03 21:00:00,164.72,163.81,81.81,1155000.0,781000.0,732.988,15223.9,374000.0,274000.0
2024-03-03 22:00:00,172.59,172.6,166.81,1155000.0,806000.0,773.383,14909.1,349000.0,236000.0
2024-03-03 23:00:00,170.66,170.65,309.13,1173000.0,810000.0,2495.51,32918.3,363000.0,261000.0
2024-03-04 00:00:00,173.82,173.82,173.82,1240000.0,717000.0,5208.39,102424.0,524000.0,425000.0
2024-03-04 01:00:00,175.21,175.21,175.21,1270000.0,726000.0,13280.9,133460.0,544000.0,444000.0
2024-03-04 02:00:00,160.61,160.61,167.28,1372000.0,673000.0,38002.4,237505.0,700000.0,481000.0
2024-03-04 03:00:00,154.06,154.06,167.28,1421000.0,731000.0,62737.9,285963.0,690000.0,345000.0
2024-03-04 04:00:00,-19.0,-19.0,146.22,1300000.0,773000.0,65627.9,169063.0,527000.0,185000.0
2024-03-04 05:00:00,150.25,150.25,150.25,1212000.0,798000.0,49753.7,100969.0,414000.0,127000.0
2024-03-04 06:00:00,149.63,149.63,149.63,1199000.0,826000.0,38187.1,80062.7,373000.0,107000.0
2024-03-04 07:00:00,149.63,149.63,167.0,1174000.0,903000.0,27832.8,52598.8,271000.0,108000.0
2024-03-04 08:00:00,169.0,171.66,167.0,1192000.0,910000.0,47127.9,69852.2,283000.0,281000.0
2024-03-04 09:00:00,174.67,172.15,169.11,1176000.0,900000.0,36787.8,55418.2,276000.0,271000.0
2024-03-04 10:00:00,174.76,172.46,167.17,1203000.0,900000.0,63712.2,82617.4,303000.0,304000.0
2024-03-04 11:00:00,174.76,172.64,313.62,1178000.0,871000.0,39257.6,56753.6,307000.0,304000.0
2024-03-04 12:00:00,174.67,172.33,169.85,1184000.0,853000.0,44586.7,62172.3,330000.0,264000.0
2024-03-04 13:00:00,131.05,131.05,255.37,1200000.0,816000.0,52461.9,66406.1,384000.0,304000.0
2024-03-04 14:00:00,107.12,107.12,137.23,1213000.0,793000.0,61383.6,77093.5,420000.0,321000.0
2024-03-04 15:00:00,107.12,107.12,107.12,1240000.0,763000.0,89518.9,105705.0,477000.0,377000.0
2024-03-04 16:00:00,250.03,250.03,100.13,1218000.0,731000.0,65241.5,79678.9,487000.0,266000.0
2024-03-04 17:00:00,94.8,94.8,94.8,1221000.0,691000.0,70697.3,86189.1,531000.0,311000.0
2024-03-04 18:00:00,94.8,94.8,94.8,1208000.0,663000.0,60099.6,73630.2,545000.0,326000.0
2024-03-04 19:00:00,94.8,94.8,94.8,1216000.0,645000.0,67220.3,80809.3,571000.0,352000.0
2024-03-04 20:00:00,94.8,94.8,94.8,1225000.0,656000.0,75440.8,89094.4,569000.0,350000.0
2024-03-04 21:00:00,94.8,94.8,94.8,1229000.0,670000.0,81264.7,94676.4,559000.0,339000.0
2024-03-04 22:00:00,105.85,105.85,105.85,1216000.0,725000.0,67615.6,81728.2,491000.0,392000.0
2024-03-04 23:00:00,165.63,170.79,107.38,1234000.0,801000.0,80912.7,96414.3,433000.0,334000.0
2024-03-05 00:00:00,167.73,167.29,226.38,1282000.0,867000.0,84935.9,111010.0,415000.0,311000.0
2024-03-05 01:00:00,177.25,177.25,230.01,1340000.0,893000.0,90409.3,121416.0,447000.0,349000.0
2024-03-05 02:00:00,165.11,164.83,226.38,1418000.0,868000.0,115206.0,149303.0,550000.0,454000.0
2024-03-05 03:00:00,165.11,164.83,230.01,1426000.0,860000.0,115890.0,151870.0,566000.0,470000.0
2024-03-05 04:00:00,162.44,162.15,146.27,1397000.0,818000.0,85979.5,123380.0,578000.0,481000.0
2024-03-05 05:00:00,168.76,164.83,170.63,1380000.0,888000.0,91580.1,117613.0,491000.0,321000.0
2024-03-05 06:00:00,157.4,157.4,162.57,1404000.0,875000.0,96419.4,126368.0,529000.0,353000.0
