ts,temp,real_feel_temp,real_feel_temp_shade,rel_hum,dew_point,wind_dir,wind_spd,wind_gust_spd,uv_idx,vis,cld_cvr,ceiling,pressure,appr_temp,wind_chill_temp,wet_bulb_temp,precip_1h,location,cloud,temp_max,temp_min,humidity,ground_press,wind_speed,rain,snow
1729609320,19.9,16.6,16.6,83.0,16.9,315.0,28.1,47.8,0.0,14.5,77.0,579.0,1013.2,20.0,20.0,18.0,0.1,Ilgwa-ri,,,,,,,,
1729612920,19.6,16.9,16.9,80.0,16.0,315.0,24.9,63.0,0.0,22.5,83.0,1798.0,1013.5,20.0,19.4,17.4,0.1,Ilgwa-ri,,,,,,,,
1729616160,18.8,16.0,16.0,79.0,15.2,315.0,25.9,58.0,0.0,16.1,68.0,1798.0,1016.0,20.0,18.9,16.7,0.0,Ilgwa-ri,,,,,,,,
1729616520,19.3,16.5,16.5,77.0,15.2,315.0,25.9,58.0,0.0,16.1,68.0,579.0,1013.9,19.4,19.4,16.8,0.0,Ilgwa-ri,,,,,,,,
1729619760,18.6,16.4,16.4,73.0,13.8,315.0,26.3,48.7,0.0,16.1,78.0,1798.0,1016.0,19.4,18.3,15.8,0.0,Ilgwa-ri,,,,,,,,
1729620180,18.6,16.4,16.4,73.0,13.8,315.0,26.3,48.7,0.0,16.1,78.0,9144.0,1014.2,19.4,18.3,15.8,0.0,Ilgwa-ri,,,,,,,,
1729623360,18.1,15.5,15.5,63.0,11.0,315.0,26.3,71.4,0.0,20.9,70.0,12192.0,1017.0,19.4,18.3,14.1,0.0,Ilgwa-ri,,,,,,,,
1729623720,19.2,17.0,17.0,59.0,11.0,315.0,26.3,71.4,0.0,20.9,70.0,10363.0,1014.6,19.4,19.4,14.3,0.0,Ilgwa-ri,,,,,,,,
1729626960,17.7,14.1,14.1,75.0,13.2,315.0,29.9,47.0,0.0,16.1,31.0,12192.0,1017.0,18.3,17.8,15.1,0.0,Ilgwa-ri,,,,,,,,
1729627320,18.8,15.8,15.8,70.0,13.2,315.0,29.9,47.0,0.0,16.1,31.0,7010.0,1014.9,19.4,18.9,15.5,0.0,Ilgwa-ri,,,,,,,,
1729630920,18.5,16.4,16.4,61.0,10.8,315.0,21.3,51.7,0.0,16.1,56.0,4267.0,1014.9,19.4,18.3,13.9,0.0,Ilgwa-ri,,,,,,,,
1729634520,18.0,15.2,15.2,62.0,10.7,315.0,23.8,63.4,0.0,24.1,73.0,8534.0,1015.2,18.3,17.8,13.7,0.0,Ilgwa-ri,,,,,,,,
1729638120,18.0,16.4,15.4,60.0,10.1,338.0,18.7,25.8,1.0,16.1,56.0,10363.0,1015.6,18.3,17.8,13.4,0.0,Ilgwa-ri,,,,,,,,
1729641420,17.5,15.6,14.8,63.0,10.3,315.0,25.6,28.9,1.0,16.1,17.0,6096.0,1019.0,18.3,17.8,13.3,0.0,Ilgwa-ri,,,,,,,,
