ts,실시간 임시 가격(원/kWh),실시간 확정 가격(원/kWh)
1729610100,100.23,100.23
1729611000,100.23,100.23
1729611900,100.23,100.23
1729612800,100.23,100.23
1729613700,92.35,92.35
1729614600,92.35,92.35
1729615500,92.35,92.35
1729616400,92.35,92.35
1729617300,216.99,216.99
1729618200,214.06,214.06
1729619100,214.43,214.43
1729620000,92.27,92.27
1729620900,92.19,92.19
1729621800,0.0,0.0
1729622700,0.0,0.0
1729623600,0.0,0.0
1729624500,92.35,92.35
1729625400,0.0,0.0
1729626300,0.0,0.0
1729627200,0.0,0.0
1729628100,0.0,0.0
1729629000,0.0,0.0
1729629900,0.0,0.0
1729630800,100.25,100.25
1729631700,100.25,100.25
1729632600,100.25,100.25
1729633500,100.25,100.25
1729634400,100.25,100.25
1729635300,212.39,212.39
1729636200,194.8,194.8
1729637100,106.54,106.54
1729638000,0.0,0.0
1729638900,0.0,0.0
1729639800,0.0,0.0
1729640700,-48.0,-48.0
1729641600,-48.0,-48.0
1729642500,-50.01,-50.01
1729643400,-78.74,-78.74
1729644300,-78.74,-78.74
1729645200,-78.74,-78.74
1729646100,-78.74,-78.74
1729647000,-78.74,-78.74
1729647900,-78.74,-78.74
1729648800,-78.74,-78.74
1729649700,-78.74,-78.74
1729650600,-78.74,-78.74
1729651500,-78.74,-78.74
1729652400,-78.74,-78.74
1729653300,-78.74,-78.74
1729654200,-78.74,-78.74
1729655100,-78.74,-78.74
1729656000,-78.74,-78.74
1729656900,-78.74,-78.74
1729657800,-78.74,-78.74
1729658700,-78.74,-78.74
1729659600,-78.74,-78.74
1729660500,-78.74,-78.74
1729661400,0.0,0.0
1729662300,0.0,0.0
1729663200,216.99,216.99
1729664100,221.27,221.27
1729665000,232.46,232.46
1729665900,232.46,232.46
1729666800,134.74,134.74
1729667700,134.74,134.74
1729668600,134.74,134.74
1729669500,134.74,134.74
1729670400,134.74,134.74
1729671300,139.6,139.6
1729672200,139.6,139.6
1729673100,139.6,139.6
1729674000,139.6,139.6
1729674900,139.33,139.33
1729675800,0.0,0.0
1729676700,139.33,139.33
1729677600,139.33,139.33
1729678500,232.46,232.46
1729679400,232.46,232.46
1729680300,134.75,134.75
1729681200,134.75,134.75
1729682100,152.45,153.4
1729683000,152.45,153.4
1729683900,152.62,153.4
1729684800,153.19,153.4
1729685700,106.56,106.56
1729686600,106.56,106.56
1729687500,106.56,106.56
1729688400,106.56,106.56
1729689300,104.94,104.94
1729690200,104.94,104.94
1729691100,104.94,104.94
1729692000,104.94,104.94
1729692900,105.29,105.29
1729693800,105.29,105.29
1729694700,105.29,105.29
1729695600,105.29,105.29
1729696500,92.57,92.57
1729697400,92.57,92.57
1729698300,92.57,92.57
1729699200,92.57,92.57
1729700100,92.37,92.37
1729701000,92.37,92.37
1729701900,92.37,92.37
1729702800,92.37,92.37
1729703700,92.14,92.14
1729704600,92.14,92.14
1729705500,92.14,92.14
1729706400,92.14,92.14
1729707300,91.93,91.93
1729708200,91.93,91.93
1729709100,91.93,91.93
1729710000,91.93,91.93
1729710900,92.05,92.05
1729711800,92.05,92.05
1729712700,92.05,92.05
1729713600,92.05,92.05
1729714500,92.26,92.26
1729715400,92.26,92.26
1729716300,92.26,92.26
1729717200,92.26,92.26
1729718100,102.6,102.6
1729719000,102.6,102.6
1729719900,102.6,102.6
1729720800,102.6,102.6
1729721700,102.82,102.82
1729722600,102.82,102.82
1729723500,102.82,102.82
1729724400,102.82,102.82
1729725300,106.46,106.46
1729726200,106.46,106.46
1729727100,106.46,106.46
1729728000,106.46,106.46
1729728900,0.0,0.0
1729729800,-0.78,-0.78
1729730700,-78.74,-78.74
1729731600,-78.74,-78.74
1729732500,-78.74,-78.74
1729733400,-78.74,-78.74
1729734300,-78.74,-78.74
1729735200,-78.74,-78.74
1729736100,-78.74,-78.74
1729737000,-78.74,-78.74
1729737900,-78.74,-78.74
1729738800,-78.74,-78.74
1729739700,-78.74,-78.74
1729740600,-78.74,-78.74
1729741500,-78.74,-78.74
1729742400,-78.74,-78.74
1729743300,-78.74,-78.74
1729744200,-78.74,-78.74
1729745100,-78.74,-78.74
1729746000,0.0,0.0
1729746900,132.92,132.92
1729747800,132.92,132.92
1729748700,197.3,197.3
1729749600,219.19,219.19
1729750500,135.75,135.75
1729751400,135.75,135.75
1729752300,135.75,135.75
1729753200,135.75,135.75
1729754100,135.75,135.75
1729755000,135.75,135.75
1729755900,135.75,135.75
1729756800,135.75,135.75
1729757700,135.84,135.84
1729758600,135.84,135.84
1729759500,151.58,155.84
1729760400,152.16,155.84
1729761300,152.71,156.41
1729762200,153.64,157.34
1729763100,153.63,157.34
1729764000,153.59,157.28
1729764900,153.72,157.59
1729765800,153.72,157.59
1729766700,153.71,157.59
1729767600,155.03,157.59
1729768500,154.47,157.11
1729769400,209.55,209.55
1729770300,156.56,159.44
1729771200,106.45,106.45
1729772100,106.45,106.45
1729773000,106.45,106.45
1729773900,106.45,106.45
1729774800,106.45,106.45
1729775700,106.46,106.46
1729776600,106.46,106.46
1729777500,106.46,106.46
1729778400,106.46,106.46
1729779300,100.62,100.62
1729780200,100.62,100.62
1729781100,100.62,100.62
1729782000,100.62,100.62
1729782900,155.52,155.5
1729783800,154.27,154.44
1729784700,154.03,153.9
1729785600,92.43,92.43
1729786500,92.23,92.23
1729787400,92.23,92.23
1729788300,92.23,92.23
1729789200,92.23,92.23
1729790100,216.99,216.99
1729791000,216.99,216.99
1729791900,204.08,204.08
1729792800,216.99,216.99
1729793700,212.25,212.25
1729794600,0.0,0.0
1729795500,92.1,92.1
1729796400,92.1,92.1
1729797300,92.23,92.23
1729798200,92.23,92.23
1729799100,92.23,92.23
1729800000,92.23,92.23
1729800900,92.43,92.43
1729801800,92.43,92.43
1729802700,92.43,92.43
1729803600,92.43,92.43
1729804500,101.06,101.06
1729805400,101.06,101.06
1729806300,101.06,101.06
1729807200,101.06,101.06
1729808100,101.28,101.28
1729809000,101.28,101.28
1729809900,101.28,101.28
1729810800,101.28,101.28
1729811700,221.04,221.04
1729812600,138.32,138.32
1729813500,209.55,209.55
1729814400,138.32,138.32
1729815300,139.24,139.24
1729816200,139.24,139.24
1729817100,139.24,139.24
1729818000,139.24,139.24
1729818900,160.56,160.56
1729819800,160.56,160.56
1729820700,160.56,160.56
1729821600,160.56,160.56
1729822500,133.16,133.16
1729823400,133.16,133.16
1729824300,133.16,133.16
1729825200,133.16,133.16
1729826100,0.0,0.0
1729827000,0.0,0.0
1729827900,115.44,115.44
1729828800,115.44,115.44
1729829700,139.59,139.59
1729830600,139.59,139.59
1729831500,139.59,139.59
1729832400,139.59,139.59
1729833300,155.39,155.39
1729834200,155.39,155.39
1729835100,155.39,155.39
1729836000,155.39,155.39
1729836900,155.39,155.39
1729837800,155.39,156.59
1729838700,155.39,156.59
1729839600,155.39,156.59
1729840500,150.74,150.74
1729841400,123.36,123.36
1729842300,122.63,122.63
1729843200,152.09,156.81
1729844100,154.36,158.12
1729845000,154.62,158.36
1729845900,154.68,158.36
1729846800,155.46,159.19
1729847700,155.07,158.69
1729848600,155.96,159.52
1729849500,156.11,159.52
1729850400,155.41,159.52
1729851300,155.44,159.52
1729852200,155.42,159.52
1729853100,154.56,158.63
1729854000,154.62,157.85
1729854900,105.94,105.94
1729855800,105.94,105.94
1729856700,105.94,105.94
1729857600,105.94,105.94
1729858500,101.22,101.22
1729859400,101.22,101.22
1729860300,101.22,101.22
1729861200,101.22,101.22
1729862100,101.02,101.02
1729863000,101.02,101.02
1729863900,101.02,101.02
1729864800,101.02,101.02
1729865700,101.05,101.05
1729866600,101.05,101.05
1729867500,101.05,101.05
1729868400,101.05,101.05
1729869300,93.31,93.31
1729870200,93.31,93.31
1729871100,93.31,93.31
1729872000,93.31,93.31
1729872900,92.62,92.62
1729873800,92.62,92.62
1729874700,92.62,92.62
1729875600,92.62,92.62
1729876500,77.5,77.5
1729877400,77.5,77.5
1729878300,77.5,77.5
1729879200,77.5,77.5
1729880100,77.5,77.5
1729881000,77.5,77.5
1729881900,77.5,77.5
1729882800,77.5,77.5
1729883700,0.0,0.0
1729884600,77.5,77.5
1729885500,77.5,77.5
1729886400,77.5,77.5
1729887300,77.69,77.69
1729888200,77.69,77.69
1729889100,77.69,77.69
1729890000,77.69,77.69
1729890900,92.8,92.8
1729891800,92.8,92.8
1729892700,92.8,92.8
1729893600,92.8,92.8
1729894500,156.83,158.82
1729895400,93.24,93.24
1729896300,93.24,93.24
1729897200,93.24,93.24
1729898100,93.31,93.31
1729899000,93.31,93.31
1729899900,93.31,93.31
1729900800,93.31,93.31
1729901700,104.72,104.72
1729902600,104.72,104.72
1729903500,156.94,158.68
1729904400,157.73,159.42
1729905300,111.88,111.88
1729906200,157.05,158.6
1729907100,157.88,159.44
1729908000,158.31,159.87
1729908900,158.75,160.28
1729909800,158.72,160.22
1729910700,159.46,160.79
1729911600,159.36,160.72
1729912500,104.17,104.17
1729913400,104.17,104.17
1729914300,158.71,159.99
1729915200,158.94,160.28
1729916100,102.59,102.59
1729917000,157.43,158.6
1729917900,157.85,159.06
1729918800,102.59,102.59
1729919700,101.05,101.05
1729920600,101.05,101.05
1729921500,101.05,101.05
1729922400,101.05,101.05
1729923300,100.07,100.07
1729924200,158.07,159.44
1729925100,100.07,100.07
1729926000,157.44,158.6
1729926900,159.1,160.29
1729927800,159.09,160.28
1729928700,159.11,160.28
1729929600,159.0,159.94
1729930500,159.37,160.28
1729931400,159.36,160.28
1729932300,159.31,160.22
1729933200,160.0,161.08
1729934100,158.47,159.44
1729935000,158.79,159.69
1729935900,159.36,160.28
1729936800,159.44,160.28
1729937700,158.74,159.44
1729938600,158.73,159.44
1729939500,158.29,158.98
1729940400,158.52,159.13
1729941300,158.11,158.6
1729942200,106.47,106.47
1729943100,106.47,106.47
1729944000,106.47,106.47
1729944900,93.31,93.31
1729945800,93.31,93.31
1729946700,93.31,93.31
1729947600,93.31,93.31
1729948500,93.31,93.31
1729949400,93.31,93.31
1729950300,93.31,93.31
1729951200,93.31,93.31
1729952100,93.31,93.31
1729953000,93.31,93.31
1729953900,93.31,93.31
1729954800,93.31,93.31
1729955700,157.35,157.64
1729956600,85.46,85.46
1729957500,85.46,85.46
1729958400,85.46,85.46
1729959300,76.89,76.89
1729960200,76.89,76.89
1729961100,76.89,76.89
1729962000,76.89,76.89
