ts,하루전가격(원/kWh)
1729612800,219.19
1729616400,209.55
1729620000,0.0
1729623600,0.0
1729627200,0.0
1729630800,0.0
1729634400,205.18
1729638000,205.91
1729641600,200.4
1729645200,0.0
1729648800,0.0
1729652400,-48.0
1729656000,0.0
1729659600,0.0
1729663200,0.0
1729666800,206.85
1729670400,134.74
1729674000,139.6
1729677600,153.64
1729681200,134.75
1729684800,133.2
1729688400,106.56
1729692000,214.43
1729695600,155.28
1729699200,92.57
1729702800,204.7
1729706400,0.0
1729710000,0.0
1729713600,0.0
1729717200,155.08
1729720800,102.6
1729724400,102.82
1729728000,215.18
1729731600,206.99
1729735200,-48.0
1729738800,-78.74
1729742400,-78.74
1729746000,-78.74
1729749600,132.92
1729753200,0.0
1729756800,0.0
1729760400,155.86
1729764000,156.03
1729767600,155.05
1729771200,155.95
1729774800,121.01
1729778400,155.78
1729782000,100.62
1729785600,152.17
1729789200,92.23
1729792800,92.23
1729796400,92.1
1729800000,92.23
1729803600,92.43
1729807200,101.06
1729810800,101.28
1729814400,138.32
1729818000,139.24
1729821600,216.99
1729825200,133.16
1729828800,0.0
1729832400,209.55
1729836000,213.08
1729839600,206.86
1729843200,152.32
1729846800,155.17
1729850400,155.03
1729854000,154.78
1729857600,155.92
1729861200,155.03
1729864800,101.02
1729868400,155.92
1729872000,93.31
1729875600,92.62
1729879200,154.96
1729882800,77.5
1729886400,77.5
1729890000,77.69
1729893600,154.48
1729897200,155.12
1729900800,155.34
1729904400,155.46
1729908000,111.88
1729911600,133.33
1729915200,104.17
1729918800,102.59
1729922400,101.05
1729926000,154.87
1729929600,154.19
1729933200,102.86
1729936800,106.82
1729940400,159.43
1729944000,158.92
1729947600,158.51
1729951200,157.75
1729954800,153.52
1729958400,85.46
1729962000,76.89
1729965600,76.21
1729969200,76.21
1729972800,76.21
1729976400,76.21
1729980000,77.04
1729983600,94.15
1729987200,94.15
1729990800,153.61
1729994400,103.58
1729998000,117.34
1730001600,133.35
1730005200,103.31
1730008800,101.01
1730012400,101.07
1730016000,153.46
1730019600,155.05
1730023200,155.81
1730026800,154.93
1730030400,154.13
1730034000,94.15
1730037600,155.69
1730041200,153.56
1730044800,75.66
1730048400,75.64
1730052000,152.03
1730055600,75.64
1730059200,76.87
1730062800,75.64
1730066400,151.7
1730070000,132.89
1730073600,139.32
1730077200,153.31
1730080800,152.49
1730084400,152.07
1730088000,137.6
1730091600,152.01
1730095200,151.53
1730098800,139.32
1730102400,152.08
1730106000,157.77
