ts,공급능력(kW),현재 수요(kW),태양광 발전량kW),풍력 발전량(kW),신재생 발전량 총합(kW),공급 예비력(kW),운영 예비력(kW)
1729609500,1254000.0,604000.0,0.0,252669.0,261110.0,644000.0,301000.0
1729609800,1260000.0,594000.0,0.0,254414.0,262771.0,661000.0,313000.0
1729610100,1258000.0,589000.0,0.0,253042.0,261438.0,664000.0,312000.0
1729610400,1245000.0,583000.0,0.0,239697.0,248055.0,657000.0,310000.0
1729610700,1243000.0,574000.0,0.0,235746.0,244142.0,665000.0,309000.0
1729611000,1242000.0,574000.0,0.0,236386.0,244871.0,663000.0,315000.0
1729611300,1243000.0,572000.0,0.0,236885.0,245352.0,666000.0,202000.0
1729611600,1244000.0,568000.0,0.0,237173.0,245678.0,671000.0,205000.0
1729611900,1241000.0,562000.0,0.0,233773.0,242326.0,673000.0,204000.0
1729612200,1236000.0,562000.0,0.0,228560.0,237153.0,669000.0,204000.0
1729612500,1242000.0,554000.0,0.0,236059.0,244610.0,683000.0,216000.0
1729612800,1239000.0,547000.0,0.0,233606.0,242113.0,687000.0,218000.0
1729613100,1247000.0,550000.0,0.0,242554.0,251059.0,692000.0,227000.0
1729613400,1244000.0,543000.0,0.0,239486.0,247953.0,697000.0,230000.0
1729613700,1248000.0,539000.0,0.0,242720.0,251183.0,704000.0,234000.0
1729614000,1246000.0,542000.0,0.0,239683.0,248236.0,699000.0,222000.0
1729614300,1236000.0,537000.0,0.0,231929.0,240435.0,694000.0,214000.0
1729614600,1238000.0,534000.0,0.0,232567.0,241117.0,699000.0,219000.0
1729614900,1236000.0,532000.0,0.0,232660.0,241212.0,699000.0,218000.0
1729615200,1242000.0,533000.0,0.0,234571.0,243164.0,704000.0,220000.0
1729615500,1241000.0,525000.0,0.0,236766.0,245315.0,711000.0,229000.0
1729615800,1248000.0,526000.0,0.0,242980.0,251577.0,717000.0,236000.0
1729616100,1249000.0,526000.0,0.0,245611.0,254120.0,719000.0,227000.0
1729616400,1244000.0,524000.0,0.0,238165.0,246715.0,714000.0,217000.0
1729616700,1236000.0,525000.0,0.0,229973.0,238526.0,706000.0,204000.0
1729617000,1244000.0,520000.0,0.0,235039.0,243546.0,719000.0,215000.0
1729617300,1244000.0,517000.0,0.0,235233.0,243782.0,723000.0,218000.0
1729617600,1239000.0,522000.0,0.0,229564.0,238116.0,711000.0,212000.0
1729617900,1217000.0,516000.0,0.0,236363.0,244913.0,696000.0,193000.0
1729618200,1210000.0,515000.0,0.0,231301.0,239852.0,690000.0,187000.0
1729618500,1202000.0,516000.0,0.0,223680.0,232190.0,682000.0,178000.0
1729618800,1211000.0,511000.0,0.0,231497.0,240005.0,695000.0,190000.0
1729619100,1220000.0,512000.0,0.0,239753.0,248259.0,704000.0,201000.0
1729619400,1237000.0,515000.0,0.0,255471.0,264021.0,717000.0,217000.0
1729619700,1237000.0,514000.0,0.0,260173.0,268682.0,718000.0,221000.0
1729620000,1238000.0,509000.0,0.0,257994.0,266544.0,724000.0,221000.0
1729620300,1237000.0,509000.0,0.0,256339.0,264912.0,723000.0,219000.0
1729620600,1242000.0,509000.0,0.0,261059.0,269438.0,728000.0,228000.0
1729620900,1246000.0,508000.0,0.0,265449.0,273871.0,733000.0,227000.0
1729621200,1231000.0,501000.0,0.0,251312.0,259820.0,725000.0,216000.0
1729621500,1225000.0,504000.0,0.0,242943.0,251408.0,716000.0,210000.0
1729621800,1238000.0,504000.0,0.0,257647.0,266027.0,730000.0,226000.0
1729622100,1224000.0,504000.0,0.0,244765.0,253146.0,715000.0,214000.0
1729622400,1232000.0,502000.0,0.0,246814.0,255195.0,726000.0,218000.0
1729622700,1231000.0,506000.0,0.0,252214.0,260595.0,720000.0,219000.0
1729623000,1229000.0,503000.0,0.0,251258.0,259639.0,722000.0,220000.0
1729623300,1217000.0,502000.0,0.0,240895.0,249275.0,710000.0,207000.0
1729623600,1215000.0,500000.0,0.0,234342.0,242722.0,710000.0,204000.0
1729623900,1223000.0,500000.0,0.0,244072.0,252496.0,718000.0,211000.0
1729624200,1229000.0,507000.0,0.0,247182.0,255562.0,717000.0,214000.0
1729624500,1223000.0,502000.0,0.0,243074.0,251455.0,716000.0,214000.0
1729624800,1220000.0,500000.0,0.0,242702.0,251126.0,714000.0,208000.0
1729625100,1220000.0,502000.0,0.0,239843.0,248268.0,713000.0,207000.0
1729625400,1219000.0,505000.0,0.0,238343.0,246766.0,709000.0,208000.0
1729625700,1215000.0,505000.0,0.0,233915.0,242209.0,706000.0,201000.0
1729626000,1214000.0,494000.0,0.0,236885.0,245179.0,705000.0,214000.0
1729626300,1213000.0,491000.0,0.0,229385.0,237637.0,707000.0,209000.0
1729626600,1207000.0,497000.0,0.0,227457.0,235750.0,695000.0,203000.0
1729626900,1210000.0,503000.0,0.0,229000.0,237249.0,692000.0,203000.0
1729627200,1221000.0,502000.0,0.0,240651.0,248946.0,704000.0,213000.0
1729627500,1246000.0,511000.0,0.0,260691.0,268985.0,719000.0,222000.0
1729627800,1239000.0,503000.0,0.0,253194.0,261531.0,722000.0,222000.0
1729628100,1231000.0,514000.0,0.0,246266.0,254604.0,702000.0,209000.0
1729628400,1225000.0,514000.0,0.0,236834.0,245128.0,696000.0,195000.0
1729628700,1222000.0,514000.0,0.0,236788.0,245125.0,693000.0,199000.0
1729629000,1225000.0,511000.0,0.0,237892.0,246228.0,699000.0,209000.0
1729629300,1239000.0,524000.0,0.0,252413.0,260708.0,710000.0,218000.0
1729629600,1242000.0,528000.0,0.0,255619.0,263698.0,709000.0,218000.0
1729629900,1236000.0,530000.0,0.0,252115.0,260193.0,701000.0,212000.0
1729630200,1262000.0,530000.0,0.0,275585.0,283793.0,726000.0,229000.0
1729630500,1265000.0,537000.0,0.0,277501.0,285838.0,724000.0,224000.0
1729630800,1252000.0,539000.0,0.0,266115.0,274494.0,708000.0,200000.0
1729631100,1256000.0,545000.0,0.0,266639.0,274974.0,705000.0,198000.0
1729631400,1258000.0,546000.0,0.0,267407.0,275746.0,707000.0,192000.0
1729631700,1254000.0,539000.0,0.0,263061.0,271353.0,701000.0,194000.0
